Designator,Mid X,Mid Y,Layer,Rotation
+3V3TP,218.77,61.6,Top,0
+5VTP,222.07,57.25,Top,0
C6,220.47,115.87,Top,90
C7,222.12,115.87,Top,90
C8,218.82,115.87,Top,90
C9,215.75,109.75,Top,180
C10,229.26,113.13,Top,0
C11,229.26,114.68,Top,0
C12,224.64,98.12,Top,90
C13,223.27,98.22,Top,90
C14,214.35,105.23,Top,180
C15,229.08,105.69,Top,0
C16,219.02,93.88,Top,0
C17,222.61,91.11,Top,180
C18,229.29,110.24,Top,180
C19,229.26,111.63,Top,180
C20,208.53,122.25,Top,180
C23,263.96,91.19,Top,270
D1,209.83,56.97,Top,90
GND2,255.93,58.88,Top,0
H2,202.44,126.24,Top,0
H3,277.44,61.21,Top,90
H4,277.44,126.24,Top,0
IC1,222.12,106.6,Top,270
IC2,213.06,119.56,Top,360
J1,226.77,57.38,Top,180
J3,213.16,56.77,Top,0
J8,228.22,127.43,Top,180
LED1,212.39,130,Top,0
R1,209.83,61.01,Top,270
R5,221.77,95.4,Top,270
R6,224.28,115.82,Top,270
R7,225.83,115.82,Top,270
R8,207.26,117.17,Top,180
R9,205.69,114.76,Top,180
R10,230.66,75.82,Top,0
R11,225.09,123.09,Top,270
R13,235.53,128.32,Top,90
R14,230.23,123.29,Top,270
S1,205.54,110.82,Top,180
S2,230.15,79.45,Top,0
SWCLK,245.97,61.57,Top,0
SWDIO,241.78,66.75,Top,0
T2,249.38,94.87,Top,180
TP2,267.59,91.92,Top,0
TP4,209.09,113.16,Top,0
U$1,251.08,118.01,Top,180
U$2,262.97,112.7,Top,90
Y1,219.13,90.47,Top,180
