Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,5040500591,2053380005,165.2143,-138.4427,180.0,top
J2,5040500591,2053380005,132.4991,-138.4681,180.0,top
J3,5040500591,2053380005,179.3494,-118.9609,-90.0,top
J4,5040500591,2053380005,148.9583,-138.4427,180.0,top
J5,5040500591,2053380005,179.3875,-136.7409,-90.0,top
J6,5040500591,2053380005,183.5658,-102.362,-90.0,top
J7,CONN_09,1X09,120.904,-96.393,0.0,top
J8,CONN_05,1X05,137.5918,-120.8024,90.0,top
J9,CONN_02,1X02,153.8605,-98.9457,0.0,top
J10,455-1750-1-ND,1X03,151.3205,-96.393,0.0,top
J11,CONN_01,1X01,118.3132,-149.1488,-90.0,top
J12,CONN_01,1X01,189.738,-128.27,90.0,top
J15,CONN_01,1X01,189.484,-130.81,-90.0,top
J16,CONN_01,1X01,120.8532,-149.352,-90.0,top
R1,10K,R_0603_1608Metric,148.9456,-117.2972,-90.0,top
R2,10K,R_0603_1608Metric,151.9936,-117.2972,-90.0,top
R3,10K,R_0603_1608Metric,155.0416,-117.2972,-90.0,top
R4,10K,R_0603_1608Metric,158.115,-117.285,-90.0,top
R5,10K,R_0603_1608Metric,147.4216,-117.2972,-90.0,top
R6,10K,R_0603_1608Metric,150.4696,-117.2972,-90.0,top
R7,10K,R_0603_1608Metric,153.5176,-117.2972,-90.0,top
R8,10K,R_0603_1608Metric,156.591,-117.285,-90.0,top
R9,10K,R_0603_1608Metric,169.0624,-120.0404,-90.0,top
R10,10K,R_0603_1608Metric,172.1612,-120.0404,-90.0,top
R11,10K,R_0603_1608Metric,173.736,-120.0404,-90.0,top
R12,10K,R_0603_1608Metric,170.6372,-120.0404,-90.0,top
U1,TCA9548APWR,SOP65P640X120-24N,163.83,-120.65,0.0,top
U2,74LVC244APW,74LVC244APW,166.5224,-108.4072,0.0,top
